source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,sku_popularity_raw,sku_popularity,discount_type_raw,discount_type,classify_reason,is_target
topseller_api,1,0,62,62,62,62,organic,True,S048B0TB,S048B0TBJGAC,,https://www.otto.de/p/tectake-waescheschleuder-mini-waschautomat-2-in-1-waschen-und-schleudern-358-u-min-4-50-kg-wasser-und-energiesparend-S048B0TB/,tectake Wäscheschleuder Mini-Waschautomat - 2 in 1 Waschen und Schleudern,,,tectake,"124,99 €","279,00 €",-55%,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,62,4.0,,,,,Sehr beliebt,Very popular,nur bis Dienstag,Only until Tuesday,exclude_keyword:wäscheschleuder,False
topseller_api,2,109,132,132,132,132,organic,True,S03470Q4,S03470Q4C5K3,,https://www.otto.de/p/vioks-waschmaschinenuntergestell-bodenwanne-wanne-auffangbehaelter-665-x-665-mm-fuer-waschmaschine-spuelmaschine-S03470Q4/,VIOKS Waschmaschinenuntergestell Bodenwanne Wanne Auffangbehälter 665 x 665 mm,,,VIOKS,"47,33 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,3,3.5,,,,,,,,,"exclude_keyword:untergestell,gestell,bodenwanne",False
topseller_api,2,109,144,144,144,144,sponsored,True,S048B0TB,S048B0TBJGAC,sponsored,https://www.otto.de/p/tectake-waescheschleuder-mini-waschautomat-2-in-1-waschen-und-schleudern-358-u-min-4-50-kg-wasser-und-energiesparend-S048B0TB/,tectake Wäscheschleuder Mini-Waschautomat - 2 in 1 Waschen und Schleudern,Gesponsert,Sponsored,tectake,"124,99 €","279,00 €",-55%,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,62,4.0,,,,,Sehr beliebt,Very popular,nur bis Dienstag,Only until Tuesday,exclude_keyword:wäscheschleuder,False
topseller_api,2,109,148,148,148,148,organic,True,S07CN0VN,S07CN0VNICPV,,https://www.otto.de/p/tecuro-schlauch-waschmaschinen-spuelmaschinen-zulauf-verlaengerungsschlauch-alle-laengen-S07CN0VN/,tecuro Schlauch Waschmaschinen Spülmaschinen Zulauf Verlängerungsschlauch alle Längen,,,tecuro,"4,69 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,5,5.0,,,,,,,,,exclude_keyword:schlauch,False
topseller_api,2,109,155,155,155,155,organic,True,652717574,1116524590,,https://www.otto.de/p/hanseatic-kuehl-gefrierkombination-hkgk14349dbi-143-cm-hoch-49-5-cm-breit-inkl-3-jahre-herstellergarantie-652717574/,Hanseatic Kühl-/Gefrierkombination HKGK14349DI,,,Hanseatic,"279,99 €","499,00 €",-44%,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,2729,4.5,D,https://i.otto.de/i/otto/9db4e66c-b3af-5d10-b911-64c9188851cc?$dv_energieetikett$,https://d.otto.de/files/44f094f3-3cba-57a5-a711-379b1ce5d95c.pdf,"{""B/H/T"": ""49,5 x 143 x 56,2 cm"", ""Kapazität Kühlen"": ""122 l"", ""Kapazität Frieren"": ""53 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",Sehr beliebt,Very popular,,,missing_ldy_keyword,False
topseller_api,2,109,159,159,159,159,organic,True,S0DAJ0SO,S0DAJ0SOP5FT,,https://www.otto.de/p/mesko-waschschuessel-ms-8053-mini-waschmaschine-reisewaschmaschine-mit-schleuderfunktion-15-minuten-waschprogramm-ablaufschlauch-camping-ferienwohnung-weiss-S0DAJ0SO/,"Mesko Waschschüssel MS 8053 Mini-Waschmaschine, Reisewaschmaschine mit Schleuderfunktion",,,Mesko,"69,90 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,7,4.0,,,,,,,,,"exclude_keyword:schleuderfunktion,waschschüssel",False
topseller_api,2,109,163,163,163,163,organic,True,S0SDI04E,S0SDI04EDURQ,,https://www.otto.de/p/raumhirsch-furniture-waschmaschinenumbauschrank-fuer-zwei-geraete-stabiler-waschmaschinenschrank-zwei-groessen-7-farben-waschmaschinenschrank-fuer-trockner-und-waschmaschine-ueberbauschrank-S0SDI04E/,Raumhirsch Furniture Waschmaschinenumbauschrank für zwei Geräte – stabiler Waschmaschinenschrank zwei Größen 7 Farben,,,Raumhirsch Furniture,"199,90 €","379,90 €",-47%,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,20,4.0,,,,,,,,,"exclude_keyword:schrank,umbau",False
topseller_api,2,109,167,167,167,167,organic,True,S0OC50IQ,S0OC50IQ7L0D,,https://www.otto.de/p/aquintos-wasseraufbereitung-wasserfilter-waschmaschinen-spuelmaschinenfilter-2in1-zubehoer-fuer-3-4-zoll-2in1-kalk-wasserfilter-S0OC50IQ/,Aquintos Wasseraufbereitung Wasserfilter Waschmaschinen. - Spülmaschinenfilter 2in1,,,Aquintos Wasseraufbereitung,"20,95 €",,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,3,4.5,,,,,,,,,"exclude_keyword:wasserfilter,filter",False
topseller_api,2,109,176,176,176,176,sponsored,True,S0SDI04H,S0SDI04HPE6R,sponsored,https://www.otto.de/p/raumhirsch-furniture-waschmaschinenumbauschrank-mit-stauraum-fuer-waschmaschine-waschmaschinenschrank-vier-farben-S0SDI04H/,Raumhirsch Furniture Waschmaschinenumbauschrank mit Stauraum für Waschmaschine – Waschmaschinenschrank- vier Farben,Gesponsert,Sponsored,Raumhirsch Furniture,"199,90 €","339,90 €",-41%,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,11,4.5,,,,,,,,,"exclude_keyword:schrank,umbau",False
topseller_api,2,109,181,181,181,181,organic,True,S0WBW076,S0WBW0760Q4P,,https://www.otto.de/p/ruum-waescheparfuem-textilien-parfuem-perlen-fuer-die-waschmaschine-210g-spar-set-3-st-fuer-langanhaltende-frische-S0WBW076/,RUUM Wäscheparfüm Textilien-Parfüm Perlen Für Die Waschmaschine 210g,,,RUUM,"12,55 €","13,95 €",-10%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,4,5.0,,,,,,,Nur für kurze Zeit,Only for a short time,"exclude_keyword:perle,parfüm",False
topseller_api,2,109,192,192,192,192,sponsored,True,S0SDI04E,S0SDI04EDURQ,sponsored,https://www.otto.de/p/raumhirsch-furniture-waschmaschinenumbauschrank-fuer-zwei-geraete-stabiler-waschmaschinenschrank-zwei-groessen-7-farben-waschmaschinenschrank-fuer-trockner-und-waschmaschine-ueberbauschrank-S0SDI04E/,Raumhirsch Furniture Waschmaschinenumbauschrank für zwei Geräte – stabiler Waschmaschinenschrank zwei Größen 7 Farben,Gesponsert,Sponsored,Raumhirsch Furniture,"199,90 €","379,90 €",-47%,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,20,4.0,,,,,,,,,"exclude_keyword:schrank,umbau",False
topseller_api,2,109,197,197,197,197,organic,True,S057M03T,S057M06OJMWN,,https://www.otto.de/p/ml-design-waschmaschinenuntergestell-waschmaschinenzubehoer-untergestell-unterbausockel-podest-fuer-trockner-zubehoer-fuer-waschmachinen-waschmaschinen-unterbau-ausziehbare-ablage-62-5x53-5x45cm-stahl-weiss-S057M03T/,ML-DESIGN Waschmaschinenuntergestell Waschmaschinenzubehör Untergestell Unterbausockel Podest für Trockner,,,ML-DESIGN,"40,99 €","51,24 €",-20%,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,32,3.0,,,,,,,,,"exclude_keyword:untergestell,sockel,gestell,zubehör",False
topseller_api,2,109,199,199,199,199,organic,True,S0FC504U,S0FC504U1RU4,,https://www.otto.de/p/youyijia-waschmaschinenuntergestell-waschmaschinen-untergestell-verstellbare-waschmaschine-sockel-S0FC504U/,"Youyijia Waschmaschinenuntergestell Waschmaschinen Untergestell, Verstellbare Waschmaschine Sockel",,,Youyijia,"19,99 €","28,99 €",-31%,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,,,,,,,,,,,"exclude_keyword:untergestell,sockel,gestell",False
topseller_api,2,109,213,213,213,213,organic,True,CS0H0900V,S0H0900V1J2N,,https://www.otto.de/p/bestlivings-waschmaschinenbezug-60x60cm-aus-baumwolle-polyester-mit-gummizug-frottee-steppung-maschinenwaschbar-trocknergeeignet-CS0H0900V/,Bestlivings Waschmaschinenbezug 60x60cm aus Baumwolle/Polyester,,,Bestlivings,"7,49 €","9,99 €",-25%,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,132,3.5,,,,,,,,,exclude_keyword:bezug,False
topseller_api,2,109,217,217,217,217,organic,True,S0CE40NV,S0CE40NV91S6,,https://www.otto.de/p/xersek-waschmaschinenuntergestell-universal-stapelbausatz-verbindungsrahmen-46-66mm-mit-ratschenseil-zubehoer-fuer-waschmaschine-und-waeschetrockner-aus-kunststoff-und-rostfreiem-stahl-max-400kg-S0CE40NV/,XERSEK Waschmaschinenuntergestell Universal-Stapelbausatz Verbindungsrahmen 46-66mm mit Ratschenseil,,,XERSEK,"29,99 €","59,99 €",-50%,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,3,5.0,,,,,,,,,"exclude_keyword:untergestell,gestell,rahmen",False
topseller_api,2,109,218,218,218,218,organic,True,2040972757,2040972758,,https://www.otto.de/p/bosch-waermepumpentrockner-serie-6-wqg233d01-einfache-reinigung-dank-easy-clean-filter-bettwaescheprogramm-2040972757/,BOSCH Wärmepumpentrockner Serie 6 WQG233D01,,,BOSCH,"599,00 €","1.249,00 €",-52%,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,12,4.5,C,https://i.otto.de/i/otto/bd0a1715-3ba1-5ca1-8614-cb2100aefb07?$dv_energieetikett$,https://d.otto.de/files/238c5411-1c60-5569-b2c7-fcd1f9c58964.pdf,"{""Kapazität Trocknen"": ""9 kg"", ""Energieverbrauch pro Trocknung"": ""1,1 kWh"", ""Betriebsgeräusch"": ""63 dB(A)""}",,,,,missing_ldy_keyword,False
topseller_api,2,109,221,221,221,221,organic,True,S0KGL0UX,S0KGL0UX50CS,,https://www.otto.de/p/gliese-waschmaschinenuntergestell-waschmaschine-untergestell-mit-4-fuessenplus4-raeder-mit-roller-zubehoer-fuer-waschmaschinen-trockner-kuehlschrank-tragfaehigkeit-300-kg-groesse-verstellbar-S0KGL0UX/,GLIESE Waschmaschinenuntergestell Waschmaschine Untergestell mit 4 Füßen+4 Räder mit Roller,,,GLIESE,"26,69 €","41,62 €",-36%,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,2,5.0,,,,,,,,,"exclude_keyword:untergestell,gestell",False
topseller_api,2,109,223,223,223,223,organic,True,S0X7Z03S,S0X7Z03SN7LB,,https://www.otto.de/p/stabilo-sanitaer-zulaufschlauch-sicherheitsschlauch-zulaufschlauch-3-4-zoll-4-m-waschmaschine-zubehoer-fuer-waschmaschinen-pvc-anschlussschlauch-inklusive-aquastop-platzsicherung-S0X7Z03S/,"Stabilo Sanitär Zulaufschlauch Sicherheitsschlauch Zulaufschlauch 3/4"" Zoll 4 m Waschmaschine",,,Stabilo Sanitär,"21,39 €",,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,3,4.5,,,,,,,,,exclude_keyword:schlauch,False
topseller_api,2,109,224,224,224,224,organic,True,S0WEV0XX,S0WEV0XXHAXZ,,https://www.otto.de/p/greate-zulaufschlauch-aquastop-schlauch-waschmaschine-1-5m-3-4-zoll-waschmaschinenschlauch-zubehoer-fuer-waschmaschine-aquastop-S0WEV0XX/,"greate. Zulaufschlauch Aquastop Schlauch Waschmaschine 1,5m 3/4 Zoll Waschmaschinenschlauch",,,greate.,"22,95 €","24,99 €",,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,10,4.5,,,,,,,,,exclude_keyword:schlauch,False
topseller_api,2,109,227,227,227,227,organic,True,S0QD605U,S0QD605UHKNQ,,https://www.otto.de/p/xersek-zwischenbaurahmen-mit-ausziehbarer-ablage-aus-stahl-60x54cm-max-100kg-verbindungsrahmen-zwischenbausatz-inkl-ausziehplatte-fuer-trockner-waschmaschine-waschmaschinezubehoer-trocknerzubehoer-S0QD605U/,XERSEK Zwischenbaurahmen mit Ausziehbarer Ablage aus Stahl 60x54cm Max.100kg Verbindungsrahmen,,,XERSEK,"50,99 €","69,00 €",-26%,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,2,3.0,,,,,,,,,"exclude_keyword:rahmen,zwischenbaurahmen",False
topseller_api,2,109,230,230,230,230,organic,True,S05J50MS,SKH1VLNG82ML,,https://www.otto.de/p/adler-europe-waescheschleuder-ad-8056-mini-waschmaschine-4-kg-waschen-2-kg-schleudern-kompakt-camping-kleine-wohnungen-S05J50MS/,ADLER EUROPE Wäscheschleuder AD 8056 Mini Waschmaschine,,,ADLER EUROPE,"89,96 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,,,,,,,,,,,exclude_keyword:wäscheschleuder,False
topseller_api,2,109,233,233,233,233,organic,True,S0FGX0K1,S0FGX0K1NGQ8,,https://www.otto.de/p/kityhome-waescheschleuder-mini-klappbare-waschmaschine-10l-mit-touch-schleuder-2800-u-min-klappbare-mit-schleuderfunktion-fuer-reise-camping-S0FGX0K1/,Kityhome Wäscheschleuder Mini Klappbare Waschmaschine 10L mit Touch & Schleuder,,,Kityhome,"59,99 €","119,99 €",-50%,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,,,,,,,,,,,exclude_keyword:wäscheschleuder,False
topseller_api,2,109,236,236,236,236,organic,True,1631331865,1631331866,,https://www.otto.de/p/welltime-waschmaschinenumbauschrank-siena-breite-63cm-fuer-waschmaschine-trockner-2-tueren-mdf-front-topseller-in-verschiedenen-farben-ueberbauschrank-umbauschrank-badschrank-1631331865/,"welltime Waschmaschinenumbauschrank SIENA, Breite 63cm, für Waschmaschine & Trockner, 2 Türen, MDF-Front",,,welltime,"140,48 €","296,00 €",-53%,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,43,4.5,,,,,Sehr beliebt,Very popular,,,"exclude_keyword:schrank,umbau",False
topseller_api,2,109,240,240,240,240,organic,True,C1600409431,1600409432,,https://www.otto.de/p/xavax-reinigungs-set-waschmaschinen-pflege-2-x-250-ml-maschinenpfleger-C1600409431/,Xavax Reinigungs-Set,,,Xavax,"14,29 €",,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,122,4.5,,,,,,,,,missing_ldy_keyword,False
topseller_api,3,218,245,245,245,245,organic,True,S08DX0HD,S08DX0HDTGA7,,https://www.otto.de/p/raumhirsch-furniture-waschmaschinenumbauschrank-waschmaschinenschrank-fuer-waschmaschine-waeschetrockner-7-farben-lieferbar-fuer-zwei-geraete-geeignet-S08DX0HD/,Raumhirsch Furniture Waschmaschinenumbauschrank Waschmaschinenschrank für Waschmaschine & Wäschetrockner,,,Raumhirsch Furniture,"229,90 €","289,90 €",-21%,lieferbar - in 6-7 Werktagen bei dir,Available - at your door in 6-7 working days,5,4.0,,,,,,,,,"exclude_keyword:schrank,umbau",False
topseller_api,3,218,251,251,251,251,organic,True,C1615828733,1615828734,,https://www.otto.de/p/xavax-unterbausockel-sockel-untergestell-60-x-60-x-40cm-waschmaschine-trockner-hausgeraetesockel-verstellbar-C1615828733/,Xavax Unterbausockel Sockel Untergestell 60 x 60 x 40cm Waschmaschine Trockner,,,Xavax,"93,02 €","109,00 €",-15%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,149,4.5,,,,,Sehr beliebt,Very popular,,,"exclude_keyword:untergestell,sockel,gestell",False
topseller_api,3,218,252,252,252,252,organic,True,S0R9Q0CP,S0R9Q0CPKXDW,,https://www.otto.de/p/adler-europe-waescheschleuder-ad-8051-tragbare-mini-waschmaschine-mit-schleuderfunktion-3-kg-camping-ferienwohnung-kleine-wohnung-blau-weiss-S0R9Q0CP/,ADLER EUROPE Wäscheschleuder AD 8051 tragbare Mini Waschmaschine mit Schleuderfunktion,,,ADLER EUROPE,"66,90 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,7,2.5,,,,,,,,,"exclude_keyword:wäscheschleuder,schleuderfunktion",False
topseller_api,3,218,255,255,255,255,organic,True,S0N40020,S0N40020MXDV,,https://www.otto.de/p/steinborg-waescheschleuder-sb-4001-3-kg-mini-waschmaschine-camping-3-kg-kapazitaet-schleuderfunktion-150-watt-S0N40020/,STEINBORG Wäscheschleuder SB-4001,,,STEINBORG,"89,90 €","119,90 €",-25%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,7,2.0,,,,,,,,,exclude_keyword:wäscheschleuder,False
topseller_api,3,218,259,259,259,259,organic,True,S0SDI04H,S0SDI04HPE6R,,https://www.otto.de/p/raumhirsch-furniture-waschmaschinenumbauschrank-mit-stauraum-fuer-waschmaschine-waschmaschinenschrank-vier-farben-S0SDI04H/,Raumhirsch Furniture Waschmaschinenumbauschrank mit Stauraum für Waschmaschine – Waschmaschinenschrank- vier Farben,,,Raumhirsch Furniture,"199,90 €","339,90 €",-41%,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,11,4.5,,,,,,,,,"exclude_keyword:schrank,umbau",False
topseller_api,3,218,263,263,263,263,organic,True,S0P9H03V,S0P9H03V5B9L,,https://www.otto.de/p/clp-waschmaschinenuntergestell-medina-metall-gestell-fuer-waschmaschinen-S0P9H03V/,CLP Waschmaschinenuntergestell Medina,,,CLP,"94,90 €","167,90 €",-43%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,13,4.0,,,,,,,,,"exclude_keyword:untergestell,gestell",False
topseller_api,3,218,267,267,267,267,organic,True,S0TF90EG,S0TF90EG63P6,,https://www.otto.de/p/felixleo-schutz-set-waschmaschinen-abdeckung-staubdicht-wasserdicht-frontlader-schutzhuelle-S0TF90EG/,FELIXLEO Schutz-Set Waschmaschinen Abdeckung Staubdicht Wasserdicht Frontlader Schutzhülle,,,FELIXLEO,"22,99 €","23,26 €",,lieferbar in 2 Wochen,Available in 2 weeks,,,,,,,,,,,exclude_keyword:abdeckung,False
topseller_api,3,218,277,277,277,277,organic,True,S0LFX01O,S0LFX01O0TJ7,,https://www.otto.de/p/bestlivings-waschmaschinenbezug-weichschaummatte-60x60cm-4-5mm-stark-anti-rusch-waschbar-bei-40-c-pflegeleicht-hygienisch-S0LFX01O/,Bestlivings Waschmaschinenbezug Weichschaummatte 60x60cm,,,Bestlivings,"8,69 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,2,5.0,,,,,,,,,exclude_keyword:bezug,False
topseller_api,3,218,283,283,283,283,organic,True,CS0TC505D,S0TC505D0PNX,,https://www.otto.de/p/theo-klein-lernspielzeug-bosch-waschmaschine-kinderhaushaltsgera-t-wei-CS0TC505D/,"Theo Klein Lernspielzeug Bosch Waschmaschine, KinderhaushaltsgerÃ¤t (wei)",,,Theo Klein,"65,94 €",,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,,,,,,,,,,,"exclude_keyword:spielzeug,lernspiel",False
topseller_api,3,218,295,295,295,295,organic,True,S0WCQ0NS,S0WCQ0NSEWPB,,https://www.otto.de/p/clanmacy-waschmaschinenuntergestell-waschmaschine-sockel-verstellbare-untergestell-fuer-trockner-41-66cm-S0WCQ0NS/,Clanmacy Waschmaschinenuntergestell Waschmaschine Sockel Verstellbare Untergestell für Trockner 41-66cm,,,Clanmacy,"18,99 €","24,98 €",-24%,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,13,4.0,,,,,,,,,"exclude_keyword:untergestell,sockel,gestell",False
topseller_api,3,218,297,297,297,297,organic,True,S023S0QB,S023S0QBEFRQ,,https://www.otto.de/p/steinborg-waescheschleuder-sb-4002-3-kg-mini-waschmaschine-camping-3-kg-kapazitaet-schleuderfunktion-2-kammern-S023S0QB/,STEINBORG Wäscheschleuder SB-4002,,,STEINBORG,"119,90 €","149,90 €",-20%,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,19,4.0,,,,,,,,,exclude_keyword:wäscheschleuder,False
topseller_api,3,218,302,302,302,302,organic,True,S02CT09Y,S02CT09YFG50,,https://www.otto.de/p/sinlaw-waschmaschinenuntergestell-unterlegscheibe-mit-4-raedern-die-fuer-eine-einfache-mobilitaet-rollen-grosse-tragende-flaeche-rutschfest-und-stossdaempfend-S02CT09Y/,"SinLaw Waschmaschinenuntergestell Unterlegscheibe mit 4 Rädern, die für eine einfache Mobilität rollen",,,SinLaw,"20,99 €","32,55 €",-36%,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,14,4.0,,,,,,,,,"exclude_keyword:untergestell,gestell",False
topseller_api,3,218,303,303,303,303,organic,True,S037Z0PO,S037Z0POLUMQ,,https://www.otto.de/p/vioks-griff-tuergriff-ersatz-fuer-aeg-405508700-3-fuer-waschmaschine-mit-schliessnase-S037Z0PO/,VIOKS Griff Türgriff Ersatz für AEG 405508700/3 für Waschmaschine,,,VIOKS,"12,47 €",,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,1,5.0,,,,,,,,,"exclude_keyword:griff,türgriff,ersatz",False
