source,page_number,page_offset,display_rank,list_position,row_index,target_rank,exposure_type,is_listing_target,product_id,variation_id,origin,product_url,retailer_sku_name,sku_status_raw,sku_status,brand,final_sku_price,original_sku_price,savings,sku_popularity_raw,sku_popularity,delivery_availability_raw,delivery_availability,count_of_reviews_listing,average_rating_listing,energy_efficiency_class,energy_label_uri,energy_datasheet_uri,top_infos,discount_type_raw,discount_type,classify_reason,is_target
topseller_api,1,0,111,111,111,111,organic,True,C1832869249,1832871425,,https://www.otto.de/p/bauknecht-einbaukuehlgefrierkombination-kdi-12s2-122-cm-hoch-54-cm-breit-C1832869249/,BAUKNECHT Einbaukühlgefrierkombination KDI 12S2,,,BAUKNECHT,"379,00 €","1.349,00 €",-72%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,66,4.0,E,https://i.otto.de/i/otto/0085dc55-a330-53c9-93a4-70bfedcc0f94?$dv_energieetikett$,https://d.otto.de/files/e3936f1d-1653-51a3-b08a-354e9703e382.pdf,"{""B/H/T"": ""54 x 122 x 54,5 cm"", ""Kapazität Kühlen"": ""133 l"", ""Kapazität Frieren"": ""40 l"", ""Betriebsgeräusch"": ""36 dB(A)""}",nur diesen Monat,Only this month,missing_ref_keyword,False
topseller_api,2,109,149,149,149,149,organic,True,1092064325,1039768889,,https://www.otto.de/p/flex-well-kuehlumbauschrank-samoa-breite-60-cm-1092064325/,Flex-Well Kühlumbauschrank Samoa,,,Flex-Well,"167,19 €","269,00 €",-38%,,,lieferbar in 2 Wochen,Available in 2 weeks,,,,,,,,,missing_ref_keyword,False
topseller_api,2,109,153,153,153,153,organic,True,S0REG0YZ,S0REG0YZJGQR,,https://www.otto.de/p/zmh-kuehlbox-4l-mini-kuehlschraenke-fridge-leise-rosa-schwarz-weiss-12v-230v-4-l-kuehlschrank-fuer-getraenke-fluesterleiser-betrieb-25-db-reisen-wohnmobil-S0REG0YZ/,ZMH Kühlbox 4L Mini Kühlschränke - Fridge Leise Rosa/Schwarz/Weiß 12V 230V,,,ZMH,"39,99 €","119,99 €",-67%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,4,4.0,,,,,,,missing_ref_keyword,False
topseller_api,2,109,154,154,154,154,organic,True,1266667667,1266667686,,https://www.otto.de/p/kochstation-kuehlumbauschrank-ks-virginia-neu-in-verbesserter-ausfuehrung-stauraum-softclose-breite-60-cm-hoehe-200-cm-nische-fuer-kuehlschrank-b-h-t-56-178-55-cm-1266667667/,"KOCHSTATION Kühlumbauschrank KS-Virginia,neu in verbesserter Ausführung",,,KOCHSTATION,"376,60 €","629,00 €",-40%,,,lieferbar in 3 Wochen,Available in 3 weeks,,,,,,,,,missing_ref_keyword,False
topseller_api,2,109,237,237,237,237,organic,True,1897356892,1897357399,,https://www.otto.de/p/bauknecht-einbaukuehlgefrierkombination-bkgil-178f12-177-cm-hoch-55-7-cm-breit-1897356892/,BAUKNECHT Einbaukühlgefrierkombination BKGIL 178S12,,,BAUKNECHT,"517,17 €","1.109,00 €",-53%,,,lieferbar in 3 Wochen,Available in 3 weeks,7,4.5,E,https://i.otto.de/i/otto/207448d2-f322-5c07-89db-9db4a7d9b037?$dv_energieetikett$,https://d.otto.de/files/9db75c1d-39be-5c40-882e-5c6504477304.pdf,"{""B/H/T"": ""55,7 x 177 x 54,5 cm"", ""Kapazität Kühlen"": ""189 l"", ""Kapazität Frieren"": ""79 l"", ""Betriebsgeräusch"": ""34 dB(A)""}",,,missing_ref_keyword,False
topseller_api,3,218,246,246,246,246,organic,True,1950926590,1950926732,,https://www.otto.de/p/samsung-einbaukuehlgefrierkombination-brb8of-brb80f30adfo-193-5-cm-hoch-54-cm-breit-all-around-cooling-gleichmaessige-kuehlung-1950926590/,Samsung Einbaukühlgefrierkombination BRB8OF BRB80F30ADFO,,,Samsung,"999,00 €","1.899,00 €",-47%,,,lieferbar in 3 Wochen,Available in 3 weeks,1,5.0,D,https://i.otto.de/i/otto/6a2c532e-7643-5f9c-ae89-c2be11ffa9ec?$dv_energieetikett$,https://d.otto.de/files/0d171fdb-e85a-5a6c-a515-d52307e0671d.pdf,"{""B/H/T"": ""54 x 193,5 x 55 cm"", ""Kapazität Kühlen"": ""224 l"", ""Kapazität Frieren"": ""74 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,missing_ref_keyword,False
topseller_api,3,218,254,254,254,254,organic,True,1132862266,1132862275,,https://www.otto.de/p/kochstation-kuehlumbauschrank-ks-colmar-60-cm-breit-165-cm-hoch-geeignet-fuer-einbaukuehlschrank-88-cm-nische-1132862266/,KOCHSTATION Kühlumbauschrank KS-Colmar,,,KOCHSTATION,"299,48 €","509,00 €",-41%,,,lieferbar in 3 Wochen,Available in 3 weeks,2,4.0,,,,,,,missing_ref_keyword,False
topseller_api,3,218,280,280,280,280,sponsored,True,1950926590,1950926732,sponsored,https://www.otto.de/p/samsung-einbaukuehlgefrierkombination-brb8of-brb80f30adfo-193-5-cm-hoch-54-cm-breit-all-around-cooling-gleichmaessige-kuehlung-1950926590/,Samsung Einbaukühlgefrierkombination BRB8OF BRB80F30ADFO,Gesponsert,Sponsored,Samsung,"999,00 €","1.899,00 €",-47%,,,lieferbar in 3 Wochen,Available in 3 weeks,1,5.0,D,https://i.otto.de/i/otto/6a2c532e-7643-5f9c-ae89-c2be11ffa9ec?$dv_energieetikett$,https://d.otto.de/files/0d171fdb-e85a-5a6c-a515-d52307e0671d.pdf,"{""B/H/T"": ""54 x 193,5 x 55 cm"", ""Kapazität Kühlen"": ""224 l"", ""Kapazität Frieren"": ""74 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,missing_ref_keyword,False
topseller_api,3,218,297,297,297,297,organic,True,S02G405F,S040L00GR9EC,,https://www.otto.de/p/vicco-kuehlumbauschrank-fame-line-weiss-landhaus-weiss-60-cm-1-st-1-kuehlumbauschrank-S02G405F/,"Vicco Kühlumbauschrank Fame-Line, Weiß Hochglanz/Weiß, 60 cm",,,Vicco,"265,90 €","335,90 €",-21%,,,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,10,4.0,,,,,,,missing_ref_keyword,False
topseller_api,3,218,308,308,308,308,organic,True,558561719,558562115,,https://www.otto.de/p/optifit-kuehlumbauschrank-kalmar-558561719/,OPTIFIT Kühlumbauschrank Kalmar,,,OPTIFIT,"160,89 €","229,00 €",-30%,,,lieferbar in 4 Wochen,Available in 4 weeks,5,4.0,,,,,,,missing_ref_keyword,False
topseller_api,3,218,310,310,310,310,organic,True,1202752301,1202753758,,https://www.otto.de/p/beko-einbaukuehlgefrierkombination-bcsa285k4sn-177-5-cm-hoch-54-cm-breit-1202752301/,BEKO Einbaukühlgefrierkombination BCSA285K4SN,,,BEKO,"399,00 €","879,00 €",-55%,,,lieferbar in 3 Wochen,Available in 3 weeks,4,5.0,E,https://i.otto.de/i/otto/3018a3d8-eee8-53ed-b4f6-baa6b034c032?$dv_energieetikett$,https://d.otto.de/files/5eeb518f-ce0f-5de5-a2a1-0a54bbe18c08.pdf,"{""B/H/T"": ""54 x 177,5 x 54,5 cm"", ""Kapazität Kühlen"": ""193 l"", ""Kapazität Frieren"": ""78 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,missing_ref_keyword,False
topseller_api,3,218,320,320,320,320,organic,True,1728943716,1728943808,,https://www.otto.de/p/bauknecht-einbaukuehlgefrierkombination-kgitn-18f4-m-177-cm-hoch-55-7-cm-breit-1728943716/,BAUKNECHT Einbaukühlgefrierkombination KGITN 18F4 M,,,BAUKNECHT,"949,00 €","2.529,00 €",-62%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,47,4.5,C,https://i.otto.de/i/otto/04435b6e-6d8b-5ec8-884a-8baf27f0ff4c?$dv_energieetikett$,https://d.otto.de/files/07677b3d-2f8f-51bb-b71b-d379e5ea9f3f.pdf,"{""B/H/T"": ""55,7 x 177 x 54,5 cm"", ""Kapazität Kühlen"": ""182 l"", ""Kapazität Frieren"": ""68 l"", ""Betriebsgeräusch"": ""34 dB(A)""}",,,missing_ref_keyword,False
topseller_api,3,218,327,327,327,327,organic,True,1594220441,1594221570,,https://www.otto.de/p/hanseatic-einbaukuehlgefrierkombination-hekgk17754d-178-cm-hoch-54-cm-breit-inkl-3-jahre-herstellergarantie-1594220441/,Hanseatic Einbaukühlgefrierkombination HEKGK17754D,,,Hanseatic,"399,99 €","549,99 €",-27%,Sehr beliebt,Very popular,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,25,4.0,D,https://i.otto.de/i/otto/c0dad826-433a-52df-9809-7f1bd2b74f4c?$dv_energieetikett$,https://d.otto.de/files/c47a0473-1557-5bac-8413-8fdb6e609586.pdf,"{""B/H/T"": ""54 x 178 x 54 cm"", ""Kapazität Kühlen"": ""179 l"", ""Kapazität Frieren"": ""70 l"", ""Betriebsgeräusch"": ""39 dB(A)""}",,,missing_ref_keyword,False
topseller_api,3,218,350,350,350,350,organic,True,1849909120,1849909286,,https://www.otto.de/p/privileg-einbaukuehlgefrierkombination-pci-16s2-157-6-cm-hoch-54-cm-breit-kompakt-leise-157-cm-einbaukombi-mit-lessfrost-auf-35-db-1849909120/,Privileg Einbaukühlgefrierkombination PCI 16S2,,,Privileg,"519,00 €","1.489,00 €",-65%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,1,5.0,E,https://i.otto.de/i/otto/142c0015-3895-5277-9e84-d4a9b840a425?$dv_energieetikett$,https://d.otto.de/files/64c360dd-d641-5ffc-aae3-da3fffb51076.pdf,"{""B/H/T"": ""54 x 157,6 x 54,5 cm"", ""Kapazität Kühlen"": ""153 l"", ""Kapazität Frieren"": ""79 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,missing_ref_keyword,False
topseller_api,4,327,381,381,381,381,organic,True,1649902103,1039709473,,https://www.otto.de/p/flex-well-kuehlumbauschrank-samoa-breite-60-cm-1649902103/,Flex-Well Kühlumbauschrank Samoa,,,Flex-Well,"180,50 €","299,00 €",-40%,,,lieferbar in 2 Wochen,Available in 2 weeks,1,5.0,,,,,,,missing_ref_keyword,False
topseller_api,4,327,412,412,412,412,organic,True,1266667487,1266667488,,https://www.otto.de/p/kochstation-kuehlumbauschrank-ks-virginia-neu-in-verbesserter-ausfuehrung-stauraum-softclose-breite-60-cm-hoehe-165-cm-nische-fuer-kuehlschrank-b-h-t-56-88-55-cm-1266667487/,"KOCHSTATION Kühlumbauschrank KS-Virginia,neu in verbesserter Ausführung",,,KOCHSTATION,"314,59 €","519,00 €",-39%,,,lieferbar in 3 Wochen,Available in 3 weeks,,,,,,,,,missing_ref_keyword,False
topseller_api,4,327,431,431,431,431,organic,True,S0K4D0Z4,S0K4D0Z4V37B,,https://www.otto.de/p/easypart-schublade-wie-electrolux-2647017033-gefrierfach-schublade-kuehlschrank-gefrierschrank-S0K4D0Z4/,easyPART Schublade wie Electrolux 2647017033 Gefrierfach Schublade,,,easyPART,"83,90 €",,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,,,,,,,,,exclude_keyword:schublade,False
topseller_api,4,327,433,433,433,433,organic,True,558561746,793845695,,https://www.otto.de/p/optifit-kuehlumbauschrank-kalmar-558561746/,OPTIFIT Kühlumbauschrank Kalmar,,,OPTIFIT,"217,94 €","229,00 €",-5%,,,lieferbar in 4 Wochen,Available in 4 weeks,3,4.5,,,,,,,missing_ref_keyword,False
topseller_api,4,327,450,450,450,450,organic,True,S0DCG0PR,S0DCG0PRGKGC,,https://www.otto.de/p/telefunken-einbaukuehlgefrierkombination-c-ekg-178-st-e-177-cm-hoch-54-cm-breit-178-cm-nische-251-liter-einbaukuehlschrank-gross-mit-gefrierfach-weiss-S0DCG0PR/,Telefunken Einbaukühlgefrierkombination C-EKG-144-ST-E,,,Telefunken,"369,99 €","499,99 €",-26%,,,lieferbar - in 3-4 Werktagen bei dir,Available - at your door in 3-4 working days,,,E,https://i.otto.de/i/otto/922df4bc-fded-5f56-97b8-ecba036657d2?$dv_energieetikett$,https://d.otto.de/files/d4330087-1926-5c75-a8fc-b04d37f5edc9.pdf,"{""B/H/T"": ""54 x 144 x 54.5 cm"", ""Kapazität Kühlen"": ""154 l"", ""Kapazität Frieren"": ""57 l"", ""Betriebsgeräusch"": ""38 dB(A)""}",,,missing_ref_keyword,False
topseller_api,4,327,452,452,452,452,organic,True,1842550622,1842550923,,https://www.otto.de/p/liebherr-einbaukuehlgefrierkombination-ikgnc-1783_994892951-177-cm-hoch-55-9-cm-breit-1842550622/,Liebherr Einbaukühlgefrierkombination IKGNc 1783_994892951,,,Liebherr,"1.049,00 €","1.399,00 €",-25%,,,lieferbar - in 2-4 Werktagen bei dir,Available - at your door in 2-4 working days,9,5.0,C,https://i.otto.de/i/otto/cefc7c1e-4e8e-5990-97ec-1ac5fabfaf29?$dv_energieetikett$,https://d.otto.de/files/61440c8a-d708-5902-8964-82c23a4d66ca.pdf,"{""B/H/T"": ""55,9 x 177 x 54,6 cm"", ""Kapazität Kühlen"": ""183 l"", ""Kapazität Frieren"": ""70 l"", ""Betriebsgeräusch"": ""33 dB(A)""}",,,missing_ref_keyword,False
topseller_api,4,327,473,473,473,473,organic,True,684405888,684405897,,https://www.otto.de/p/kochstation-kuehlumbauschrank-ks-eton-fuer-grossen-kuehlschrank-nischenmass-178-cm-684405888/,KOCHSTATION Kühlumbauschrank KS-Eton,,,KOCHSTATION,"332,90 €","579,00 €",-43%,,,lieferbar in 3 Wochen,Available in 3 weeks,1,5.0,,,,,,,missing_ref_keyword,False
topseller_api,5,436,521,521,521,521,organic,True,1802048042,1802080885,,https://www.otto.de/p/kochstation-kuehlumbauschrank-ks-wien-edel-aussehende-gestiftete-fronten-1802048042/,KOCHSTATION Kühlumbauschrank KS-Wien,,,KOCHSTATION,"337,10 €","569,00 €",-41%,,,lieferbar in 3 Wochen,Available in 3 weeks,,,,,,,,,missing_ref_keyword,False
topseller_api,5,436,528,528,528,528,sponsored,True,1950926590,1950926732,sponsored,https://www.otto.de/p/samsung-einbaukuehlgefrierkombination-brb8of-brb80f30adfo-193-5-cm-hoch-54-cm-breit-all-around-cooling-gleichmaessige-kuehlung-1950926590/,Samsung Einbaukühlgefrierkombination BRB8OF BRB80F30ADFO,Gesponsert,Sponsored,Samsung,"999,00 €","1.899,00 €",-47%,,,lieferbar in 3 Wochen,Available in 3 weeks,1,5.0,D,https://i.otto.de/i/otto/6a2c532e-7643-5f9c-ae89-c2be11ffa9ec?$dv_energieetikett$,https://d.otto.de/files/0d171fdb-e85a-5a6c-a515-d52307e0671d.pdf,"{""B/H/T"": ""54 x 193,5 x 55 cm"", ""Kapazität Kühlen"": ""224 l"", ""Kapazität Frieren"": ""74 l"", ""Betriebsgeräusch"": ""35 dB(A)""}",,,missing_ref_keyword,False
topseller_api,5,436,547,547,547,547,organic,True,1649902103,1039709473,,https://www.otto.de/p/flex-well-kuehlumbauschrank-samoa-breite-60-cm-1649902103/,Flex-Well Kühlumbauschrank Samoa,,,Flex-Well,"180,50 €","299,00 €",-40%,,,lieferbar in 2 Wochen,Available in 2 weeks,1,5.0,,,,,,,missing_ref_keyword,False
topseller_api,5,436,558,558,558,558,organic,True,S030L0YU,S030L0YUBDB2,,https://www.otto.de/p/vicco-kuehlumbauschrank-r-line-anthrazit-hochglanz-weiss-60-cm-1-st-S030L0YU/,"Vicco Kühlumbauschrank R-Line, Sonoma/Weiß, 60 cm",,,Vicco,"239,90 €","262,90 €",-9%,,,lieferbar - in  6-8 Werktagen bei dir,Available - at your door in 6-8 working days,7,3.0,,,,,,,missing_ref_keyword,False
topseller_api,5,436,563,563,563,563,organic,True,S045L0VZ,S045L0VZ7UXA,,https://www.otto.de/p/easypart-schublade-wie-beko-4237960100-gemueseschublade-beko-kuehlschrank-gefrierschrank-S045L0VZ/,easyPART Schublade wie Beko 4237960100 Gemüseschublade beko,,,easyPART,"49,90 €",,,,,lieferbar - in 2-3 Werktagen bei dir,Available - at your door in 2-3 working days,,,,,,,,,exclude_keyword:schublade,False
topseller_api,5,436,574,574,574,574,organic,True,558561746,558562139,,https://www.otto.de/p/optifit-kuehlumbauschrank-kalmar-558561746/,OPTIFIT Kühlumbauschrank Kalmar,,,OPTIFIT,"158,93 €","229,00 €",-31%,,,lieferbar in 4 Wochen,Available in 4 weeks,3,4.5,,,,,,,missing_ref_keyword,False
topseller_api,5,436,575,575,575,575,organic,True,C959130423,959132304,,https://www.otto.de/p/gorenje-einbaukuehlgefrierkombination-rfi4152p1-145-cm-hoch-54-cm-breit-C959130423/,GORENJE Einbaukühlgefrierkombination RFI4152P1,,,GORENJE,"394,32 €","718,00 €",-45%,,,lieferbar - in 5-6 Werktagen bei dir,Available - at your door in 5-6 working days,8,4.5,E,https://i.otto.de/i/otto/82cc6e78-029f-53d6-82fe-d71f96a20adb?$dv_energieetikett$,https://d.otto.de/files/ff788e27-4adc-59be-a5b7-64e1e924689e.pdf,"{""B/H/T"": ""54 x 145 x 54 cm"", ""Kapazität Kühlen"": ""169 l"", ""Kapazität Frieren"": ""36 l"", ""Betriebsgeräusch"": ""42 dB(A)""}",,,missing_ref_keyword,False
topseller_api,5,436,587,587,587,587,organic,True,C1932590466,1932591785,,https://www.otto.de/p/amica-einbaukuehlgefrierkombination-ekgcs-385-911-157-4-cm-hoch-54-cm-breit-frisch-uebersichtlich-praktisch-perfekt-fuer-deinen-alltag-C1932590466/,Amica Einbaukühlgefrierkombination EKGCS 385 911,,,Amica,"507,33 €","1.089,00 €",-53%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,2,5.0,D,https://i.otto.de/i/otto/aa3c3a93-3aed-5e80-9e80-3d99eb33a059?$dv_energieetikett$,https://d.otto.de/files/eb3c4fe0-e9e8-5494-ab43-5e09238fa164.pdf,"{""B/H/T"": ""54 x 157,4 x 54 cm"", ""Kapazität Kühlen"": ""142 l"", ""Kapazität Frieren"": ""60 l"", ""Betriebsgeräusch"": ""38 dB(A)""}",,,missing_ref_keyword,False
topseller_api,5,436,598,598,598,598,organic,True,C1832904742,1832906400,,https://www.otto.de/p/bauknecht-einbaukuehlgefrierkombination-kdi-14s2-144-1-cm-hoch-54-cm-breit-C1832904742/,BAUKNECHT Einbaukühlgefrierkombination KDI 14S2,,,BAUKNECHT,"425,38 €","1.499,00 €",-72%,,,lieferbar - in 4-5 Werktagen bei dir,Available - at your door in 4-5 working days,1,3.0,E,https://i.otto.de/i/otto/c1b5fc30-15e0-553e-8e21-d4b5bdb78ba5?$dv_energieetikett$,https://d.otto.de/files/8634b643-457d-5573-b4a7-974862082756.pdf,"{""B/H/T"": ""54 x 144,1 x 54,5 cm"", ""Kapazität Kühlen"": ""178 l"", ""Kapazität Frieren"": ""40 l"", ""Betriebsgeräusch"": ""36 dB(A)""}",,,missing_ref_keyword,False
